,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1190,Jason Thompson,SAC,PF,24,1748,Average,bottom,2010-2011,0.1925031766200762,106.0,109.0
1191,Omri Casspi,SAC,SF,22,1702,Average,bottom,2010-2011,0.18043202033036845,106.0,109.0
1192,Isaiah Thomas,SAC,PG,22,1656,Average,bottom,2011-2012,0.24422236102435985,116.0,113.0
1193,John Salmons,SAC,SF,32,1250,Average,bottom,2011-2012,0.1330418488444722,99.0,112.0
1194,Marcus Thornton,SAC,SG,25,1726,Average,bottom,2012-2013,0.21317365269461078,111.0,114.0
1195,Chuck Hayes,SAC,C,29,1209,Average,bottom,2012-2013,0.15808383233532938,111.0,111.0
1196,Travis Outlaw,SAC,SF,29,1065,Average,Average,2013-2014,0.14462299134734236,106.0,110.0
1197,Ray McCallum,SAC,PG,22,897,Average,Average,2013-2014,0.13411619283065512,98.0,112.0
1198,Derrick Williams,SAC,PF,23,1462,Average,bottom,2014-2015,0.17594786729857814,108.0,112.0
1199,Omri Casspi,SAC,SF,26,1416,Average,bottom,2014-2015,0.2097156398104265,110.0,110.0
1200,Darren Collison,SAC,PG,28,2219,Average,Average,2015-2016,0.21067106710671063,115.0,112.0
1201,Omri Casspi,SAC,PF,27,1880,Average,Average,2015-2016,0.20297029702970296,109.0,108.0
1202,Ty Lawson,SAC,PG,29,1732,Average,Average,2016-2017,0.217032967032967,110.0,113.0
1203,Garrett Temple,SAC,SG,30,1728,Average,Average,2016-2017,0.1478021978021978,106.0,111.0
1204,Buddy Hield,SAC,SG,25,2024,Average,bottom,2017-2018,0.23955267804590924,104.0,111.0
1205,Garrett Temple,SAC,SG,31,1615,Average,bottom,2017-2018,0.1383166568569746,102.0,112.0
1206,Bogdan Bogdanović,SAC,SG,26,1947,Average,Average,2018-2019,0.19311064718162835,107.0,113.0
1207,Marvin Bagley III,SAC,PF,19,1567,Average,Average,2018-2019,0.24425887265135696,111.0,110.0
1208,Bogdan Bogdanović,SAC,SG,27,1766,Average,Average,2019-2020,0.20959051724137942,110.0,113.0
1209,Cory Joseph,SAC,PG,28,1759,Average,Average,2019-2020,0.14116379310344834,110.0,114.0
1210,Tyrese Haliburton,SAC,PG,20,1746,Average,Average,2020-2021,0.2165762210162802,118.0,118.0
1211,Hassan Whiteside,SAC,C,31,546,Average,Average,2020-2021,0.2446965959546127,107.0,111.0
1212,Davion Mitchell,SAC,PG,23,2076,Average,Average,2021-2022,0.15247108307045218,101.0,118.0
1213,Chimezie Metu,SAC,C,24,1279,Average,Average,2021-2022,0.22134595162986337,104.0,111.0
