Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
231,Don MacLean,SF,31,MIA,8,1,76,7.3,14.5,.500,1.5,1.5,1.000,5.8,13.1,.444,6.5,8.7,.750,5.1,8.0,13.1,2.9,3.6,0.7,7.3,6.5,22.5,,97,94,macledo01
232,Mark Madsen,PF,25,LAL,70,3,641,4.5,9.2,.487,0.1,0.1,1.000,4.4,9.1,.482,2.1,3.0,.703,6.0,6.4,12.4,2.0,0.7,0.7,2.2,9.1,11.2,,112,107,madsema01
233,Corey Maggette,SF,21,LAC,69,9,1359,8.9,19.2,.462,0.7,2.2,.304,8.2,17.0,.483,8.8,11.3,.774,3.5,8.0,11.5,3.2,1.4,0.4,4.2,5.5,27.2,,108,105,maggeco01
234,Jamaal Magloire,C,22,CHH,74,0,1095,6.0,13.3,.450,0.0,0.1,.000,6.0,13.2,.454,4.7,7.1,.655,5.0,9.4,14.5,1.3,0.9,3.8,3.0,6.8,16.6,,100,97,magloja01
235,Dan Majerle,SG,35,MIA,53,19,1306,3.7,10.9,.336,2.4,7.6,.315,1.3,3.3,.385,1.5,1.9,.818,0.8,6.2,7.0,3.7,2.2,0.6,1.5,4.1,11.3,,100,98,majerda01
236,Karl Malone*,PF,37,UTA,81,81,2895,12.4,24.8,.498,0.0,0.1,.400,12.3,24.8,.499,9.9,12.5,.793,2.1,10.3,12.4,6.7,1.7,1.1,4.5,4.0,34.7,,112,100,malonka01
237,Matt Maloney,PG,29,ATL,55,27,1403,5.4,12.9,.420,1.9,5.3,.359,3.5,7.7,.461,1.0,1.3,.765,0.5,3.8,4.4,5.7,2.1,0.2,2.6,3.5,13.7,,100,107,malonma01
238,Danny Manning,PF,34,UTA,82,0,1305,10.1,20.5,.494,0.3,1.1,.250,9.8,19.3,.508,4.2,5.7,.729,2.7,6.1,8.8,3.8,1.9,1.2,3.9,9.0,24.7,,101,102,mannida01
239,Stephon Marbury,PG,23,NJN,67,67,2557,11.5,26.1,.441,2.2,6.8,.328,9.3,19.3,.481,7.4,9.4,.790,1.1,3.1,4.2,10.3,1.6,0.1,4.0,3.1,32.7,,110,109,marbust01
240,Shawn Marion,SF,22,PHO,79,79,2857,10.0,20.9,.480,0.4,1.5,.256,9.7,19.4,.497,4.2,5.2,.810,4.0,11.3,15.3,2.9,2.4,1.9,2.3,3.8,24.7,,109,93,mariosh01
241,Donyell Marshall,SF,27,UTA,81,49,2326,9.8,19.5,.503,0.9,2.9,.320,8.9,16.6,.535,4.7,6.3,.751,4.0,9.1,13.0,3.1,2.0,1.8,2.9,4.5,25.3,,112,100,marshdo01
242,Darrick Martin,PG,29,SAC,31,0,176,8.4,22.0,.382,4.0,7.8,.519,4.3,14.2,.306,9.0,10.1,.886,0.6,4.0,4.6,4.0,2.0,0.0,2.9,7.8,29.8,,113,103,martida01
243,Kenyon Martin,PF,23,NJN,68,68,2272,8.0,17.9,.445,0.0,0.3,.091,7.9,17.6,.450,2.8,4.4,.630,3.2,8.4,11.5,3.0,1.8,2.6,3.2,6.5,18.7,,93,102,martike01
244,Jamal Mashburn,SF,28,CHH,76,76,2989,10.3,24.9,.413,1.8,5.2,.356,8.4,19.7,.428,5.0,6.5,.766,1.7,8.7,10.3,7.4,1.5,0.2,3.8,3.3,27.4,,101,100,mashbja01
245,Anthony Mason,PF,34,MIA,80,80,3254,7.8,16.2,.482,0.0,0.0,,7.8,16.2,.482,6.3,8.0,.781,2.9,10.2,13.0,4.2,1.4,0.4,3.0,3.9,21.9,,109,98,masonan01
246,Desmond Mason,SF,23,SEA,78,14,1522,6.5,15.1,.431,0.6,2.3,.269,5.9,12.8,.460,2.3,3.1,.736,2.5,6.1,8.6,2.2,1.3,0.7,1.8,5.0,15.9,,101,107,masonde01
247,Tony Massenburg,PF,33,VAN,52,20,823,5.9,12.7,.462,0.0,0.0,,5.9,12.7,.462,3.1,4.5,.700,4.8,8.6,13.4,0.6,0.6,1.8,3.1,7.8,14.8,,96,105,masseto01
248,Vernon Maxwell,PG,35,TOT,43,6,660,5.8,17.7,.327,2.7,8.8,.306,3.1,8.9,.348,1.7,2.5,.656,0.3,4.9,5.2,3.9,1.7,0.2,2.8,5.1,15.9,,86,103,maxweve01
248,Vernon Maxwell,PG,35,PHI,24,6,375,5.9,17.7,.336,3.0,9.0,.328,3.0,8.6,.344,2.1,3.1,.682,0.4,4.8,5.2,4.1,1.7,0.0,2.5,4.7,17.0,,93,102,maxweve01
248,Vernon Maxwell,PG,35,DAL,19,0,285,5.6,17.7,.316,2.3,8.5,.277,3.3,9.2,.353,1.1,1.8,.600,0.2,5.1,5.2,3.6,1.6,0.5,3.1,5.6,14.6,,78,104,maxweve01
249,Walter McCarty,PF,26,BOS,60,3,478,4.9,13.7,.357,2.1,6.1,.339,2.8,7.6,.371,2.4,3.0,.786,2.6,6.2,8.8,4.2,1.5,0.8,2.2,8.9,14.2,,101,105,mccarwa01
250,Dan McClintock,C,23,DEN,6,1,58,8.0,16.1,.500,0.0,0.0,,8.0,16.1,.500,0.0,4.5,.000,8.9,6.3,15.2,0.9,0.0,1.8,2.7,9.8,16.1,,94,109,mcclida01
251,George McCloud,SF,33,DEN,76,8,2007,6.5,16.9,.382,2.0,6.0,.329,4.5,10.9,.411,3.9,4.7,.840,1.4,4.4,5.8,7.2,1.4,0.7,3.0,4.3,18.8,,103,109,mccloge01
252,Jelani McCoy,C,23,SEA,70,44,1143,6.3,12.1,.523,0.0,0.0,,6.3,12.1,.523,1.9,4.3,.441,4.2,7.3,11.5,2.6,0.8,2.2,3.4,6.5,14.5,,97,106,mccoyje01
