Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
116,Ronald Dupree,SF,26,DET,19,0,94,6.4,18.1,.355,0.0,0.0,,6.4,18.1,.355,1.8,5.3,.333,2.9,7.0,9.9,2.9,2.9,0.6,1.8,7.0,14.6,,82,102,duprero01
117,Monta Ellis,SG,21,GSW,77,53,2638,8.8,18.5,.475,0.7,2.6,.273,8.1,15.9,.509,5.0,6.6,.763,1.1,3.3,4.5,5.9,2.4,0.4,4.1,3.9,23.3,,104,109,ellismo01
118,Francisco Elson,C,30,SAS,70,41,1332,5.8,11.3,.511,0.0,0.1,.000,5.8,11.2,.514,2.5,3.2,.775,3.3,10.2,13.5,2.2,1.2,2.4,3.5,7.4,14.1,,100,97,elsonfr01
119,Melvin Ely,PF-C,28,TOT,30,0,309,4.9,13.6,.363,0.0,0.0,,4.9,13.6,.363,5.3,8.0,.660,2.5,6.4,9.0,3.1,1.0,1.4,4.8,8.7,15.1,,83,107,elyme01
119,Melvin Ely,PF,28,CHA,24,0,244,4.9,12.8,.383,0.0,0.0,,4.9,12.8,.383,5.1,7.5,.686,2.6,5.8,8.3,3.0,0.4,1.3,4.9,8.3,15.0,,84,110,elyme01
119,Melvin Ely,C,28,SAS,6,0,65,4.9,16.5,.300,0.0,0.0,,4.9,16.5,.300,5.8,9.9,.583,2.5,9.0,11.5,3.3,3.3,1.6,4.1,9.9,15.6,,78,94,elyme01
120,Maurice Evans,SG,28,LAL,76,10,1732,6.9,16.1,.432,1.4,3.9,.361,5.5,12.1,.455,3.6,4.6,.787,2.8,3.8,6.5,2.2,1.1,0.4,1.7,3.7,18.9,,109,112,evansma01
121,Reggie Evans,PF,26,DEN,66,11,1127,5.1,9.4,.544,0.0,0.0,,5.1,9.4,.544,4.0,8.0,.497,6.8,13.3,20.1,2.0,1.8,0.7,4.2,6.3,14.2,,101,101,evansre01
122,Daniel Ewing,PG,23,LAC,61,3,712,4.8,12.0,.404,1.0,3.3,.318,3.8,8.7,.436,2.6,3.3,.778,0.7,4.8,5.4,6.7,2.4,0.3,3.7,4.6,13.3,,94,106,ewingda01
123,Jordan Farmar,PG,20,LAL,72,2,1090,5.8,13.8,.422,2.1,6.4,.328,3.7,7.4,.503,1.3,1.8,.711,1.0,4.6,5.6,6.4,2.1,0.3,3.4,3.6,15.1,,99,110,farmajo01
124,Desmon Farmer,SG,25,SEA,8,0,32,8.2,24.5,.333,3.3,13.1,.250,4.9,11.4,.429,1.6,1.6,1.000,0.0,1.6,1.6,14.7,1.6,0.0,1.6,3.3,21.2,,108,114,farmede01
125,Raymond Felton,PG,22,CHA,78,75,2832,7.2,18.9,.384,1.9,5.7,.330,5.3,13.1,.407,3.8,4.7,.797,0.9,4.0,4.9,10.0,2.2,0.2,4.2,3.3,20.1,,98,109,feltora01
126,Michael Finley,SF,33,SAS,82,16,1823,8.0,19.4,.412,3.1,8.4,.364,5.0,11.1,.448,2.6,2.9,.918,1.0,5.5,6.5,3.2,0.9,0.5,1.3,2.2,21.7,,108,103,finlemi01
127,Derek Fisher,SG,32,UTA,82,61,2287,5.9,15.5,.382,1.1,3.6,.308,4.8,11.9,.405,6.0,7.0,.853,0.7,2.7,3.4,6.3,1.9,0.1,2.7,5.4,18.9,,108,109,fishede01
128,T.J. Ford,PG,23,TOR,75,71,2243,9.1,20.9,.436,0.5,1.6,.304,8.6,19.3,.447,5.5,6.8,.819,1.2,4.2,5.5,13.8,2.3,0.2,5.3,4.3,24.2,,103,106,fordtj01
129,Danny Fortson,C,30,SEA,14,6,158,5.0,9.9,.500,0.0,0.3,.000,5.0,9.6,.517,3.3,4.3,.769,4.3,9.9,14.2,0.3,0.3,0.0,5.0,12.6,13.2,,90,111,fortsda01
